DATE,GAME_ID,TEAM,OPPONENT,PTS,FGA,FTA,TO,FTM,REB,AST,STL,BLK,3PA,3PM,BSN_ID,GAME_URL,HOMEAWAY,POSS,OPP_PTS,OPP_POSS,ORTG_GAME,DRTG_GAME,NET_GAME,TEAM_GAME_NUM,PTS_L5,POSS_L5,OPP_PTS_L5,OPP_POSS_L5,ORTG_L5,DRTG_L5,NET_L5
2026-03-22,2,Atleticos,Osos,99,59,24,16,17,26,24,8,0,20,12,85f9c415-11ad-11f1-8147-995a265266fc,https://www.bsnpr.com/partidos/85f9c415-11ad-11f1-8147-995a265266fc,0,85.56,92,90.16,115.70827489481066,102.04081632653062,13.66745856828004,1,99.0,85.56,92.0,90.16,115.70827489481066,102.04081632653062,13.66745856828004
2026-03-25,5,Atleticos,Leones,90,73,22,12,14,47,24,10,1,14,4,86227eb0-11ad-11f1-8614-45a14c464e3d,https://www.bsnpr.com/partidos/86227eb0-11ad-11f1-8614-45a14c464e3d,0,94.68,80,83.12,95.05703422053232,96.24639076034649,-1.1893565398141703,2,189.0,180.24,172.0,173.28,104.86018641810918,99.26131117266851,5.5988752454406665
2026-03-28,10,Atleticos,Indios,93,65,27,7,20,41,22,8,1,11,5,85fbab5a-11ad-11f1-a6fa-ffcdd9747cbf,https://www.bsnpr.com/partidos/85fbab5a-11ad-11f1-a6fa-ffcdd9747cbf,1,83.88,72,80.32,110.87267525035766,89.64143426294821,21.23124098740945,3,282.0,264.12,244.0,253.6,106.76965015901862,96.21451104100946,10.555139118009166
2026-03-30,13,Atleticos,Piratas,76,74,10,10,8,42,18,10,2,26,6,862dcdf9-11ad-11f1-b539-31430745bf20,https://www.bsnpr.com/partidos/862dcdf9-11ad-11f1-b539-31430745bf20,1,88.4,73,83.16,85.97285067873302,87.78258778258778,-1.8097371038547578,4,358.0,352.52,317.0,336.76,101.5545217292636,94.13231975293978,7.422201976323819
2026-04-01,17,Atleticos,Mets,80,65,20,13,17,41,14,5,1,10,1,8624e6ab-11ad-11f1-b7b1-e3311ea6ecd4,https://www.bsnpr.com/partidos/8624e6ab-11ad-11f1-b7b1-e3311ea6ecd4,0,86.8,77,85.36,92.16589861751153,90.20618556701031,1.9597130505012217,5,438.0,439.32,394.0,422.12,99.69953564599837,93.33838718847721,6.361148457521153
2026-04-04,26,Atleticos,Gigantes,97,88,17,13,11,45,18,8,3,24,4,862abd00-11ad-11f1-bd8b-fb1baaa297fd,https://www.bsnpr.com/partidos/862abd00-11ad-11f1-bd8b-fb1baaa297fd,1,108.48,104,95.28,89.41740412979351,109.151973131822,-19.734569002028493,6,436.0,462.24,406.0,427.24,94.32329525787469,95.02855537870985,-0.7052601208351632
2026-04-07,32,Atleticos,Cangrejeros,88,72,27,10,15,36,25,6,3,21,7,8670084c-11ad-11f1-894e-1de1a4c7b1f5,https://www.bsnpr.com/partidos/8670084c-11ad-11f1-894e-1de1a4c7b1f5,0,93.88,97,89.12,93.73668512995313,108.84201077199282,-15.105325642039688,7,434.0,461.44,423.0,433.24,94.05339805825243,97.63641399686087,-3.5830159386084404
2026-04-09,37,Atleticos,Mets,97,66,11,7,7,32,30,4,4,33,16,862a582f-11ad-11f1-a1ed-71059c049357,https://www.bsnpr.com/partidos/862a582f-11ad-11f1-a1ed-71059c049357,1,77.84,71,77.84,124.61459403905447,91.21274409044193,33.401849948612536,8,438.0,455.4,422.0,430.76,96.17918313570487,97.96638499396416,-1.7872018582592801
2026-04-17,52,Atleticos,Indios,86,63,19,15,17,31,20,5,0,27,13,863b0bb0-11ad-11f1-a937-612cd40bc2cc,https://www.bsnpr.com/partidos/863b0bb0-11ad-11f1-a937-612cd40bc2cc,0,86.36,100,90.76,99.58314034275128,110.18069634200087,-10.597555999249593,9,448.0,453.36,449.0,438.36,98.81771660490558,102.42722876174834,-3.6095121568427544
2026-04-19,58,Atleticos,Leones,99,64,18,9,12,31,26,4,6,22,9,8658f873-11ad-11f1-8bd6-4155b703e60b,https://www.bsnpr.com/partidos/8658f873-11ad-11f1-8bd6-4155b703e60b,1,80.92,89,83.0,122.34305486900642,107.2289156626506,15.114139206355816,10,467.0,447.48,461.0,436.0,104.36220613211763,105.73394495412845,-1.371738822010812
